,uzfcell,grdcode,row,col,hru_id,weight
22,1,64,1,64,1,0.026603814119068196
23,2,65,1,65,1,0.0266297312905532
19,3,144,2,63,1,0.026599123128026172
20,4,145,2,64,1,0.026676637698976338
71,5,146,2,65,2,0.011503017916954149
21,5,146,2,65,1,0.020688765715641506
16,6,225,3,63,1,0.0266185918038705
69,7,226,3,64,2,0.005757948531933627
17,7,226,3,64,1,0.023654703415732378
70,8,227,3,65,2,0.045945435741964816
18,8,227,3,65,1,0.0029527079148043115
13,9,305,4,62,1,0.02659595825183309
14,10,306,4,63,1,0.026675398836010382
67,11,307,4,64,2,0.028741493604631713
15,11,307,4,64,1,0.01181527856349431
68,12,308,4,65,2,0.051669406189230695
10,13,386,5,62,1,0.0266671413368669
11,14,387,5,63,1,0.026613953092182837
64,14,387,5,63,2,9.011829000924311e-06
65,15,388,5,64,2,0.05168464030442208
12,15,388,5,64,1,4.910097572941078e-06
66,16,389,5,65,2,0.05177824774774313
58,17,390,5,66,2,0.05171861675679272
8,18,467,6,62,1,0.026626851941620306
62,19,468,6,63,2,0.01722503657371552
9,19,468,6,63,1,0.017742038276145913
63,20,469,6,64,2,0.051694836410605204
55,21,470,6,65,2,0.051723045070720765
56,22,471,6,66,2,0.05169193954698876
88,23,472,6,67,3,0.016826071197462787
57,23,472,6,67,2,0.04592068091254211
4,24,547,7,61,1,0.02661155147587108
5,25,548,7,62,1,0.026629432440968936
60,26,549,7,63,2,1.3236063505336303e-05
6,26,549,7,63,1,0.02660526986352974
61,27,550,7,64,2,0.03458818239971652
7,27,550,7,64,1,0.008849344976003714
82,28,551,7,65,2,0.05172903764089165
83,29,552,7,66,2,0.051689526636969046
86,30,553,7,67,3,0.06797190459315745
54,30,553,7,67,2,0.02873326739639429
87,31,554,7,68,3,0.1525095266459471
268,32,628,8,61,7,3.0814186485589933e-08
0,32,628,8,61,1,0.026655226955562137
1,33,629,8,62,1,0.02660934655893741
2,34,630,8,63,1,0.026630605223517248
3,35,631,8,64,1,0.020762573638996216
59,35,631,8,64,2,0.011448737653623562
79,36,632,8,65,2,0.05168351992415433
190,36,632,8,65,5,6.425956992334355e-06
32,36,632,8,65,1,2.0909833493324524e-06
