# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-05-15 13:42:34 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07109500 ARKANSAS RIVER NEAR AVONDALE, CO.
# -----------------------------------------------------------------------------------
#
# Data provided for site 07109500
#            TS   parameter     statistic     Description
#         18052       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	18052_00095_00003	18052_00095_00003_cd
5s	15s	20d	14n	10s
USGS	07109500	2007-09-30	868	A
USGS	07109500	2007-10-01	844	A
USGS	07109500	2007-10-02	821	A
USGS	07109500	2007-10-03	855	A
USGS	07109500	2007-10-04	826	A
USGS	07109500	2007-10-05	687	A
USGS	07109500	2007-10-06	685	A
USGS	07109500	2007-10-07	694	A
USGS	07109500	2007-10-08	697	A
USGS	07109500	2007-10-09	697	A
USGS	07109500	2007-10-10	810	A
USGS	07109500	2007-10-11	832	A
USGS	07109500	2007-10-12	850	A
USGS	07109500	2007-10-13	858	A
USGS	07109500	2007-10-14	853	A
USGS	07109500	2007-10-15	892	A
USGS	07109500	2007-10-16	888	A
USGS	07109500	2007-10-17	858	A
USGS	07109500	2007-10-18	897	A
USGS	07109500	2007-10-19	857	A
USGS	07109500	2007-10-20	862	A
USGS	07109500	2007-10-21	850	A
USGS	07109500	2007-10-22	891	A
USGS	07109500	2007-10-23	791	A
USGS	07109500	2007-10-24	758	A
USGS	07109500	2007-10-25	749	A
USGS	07109500	2007-10-26	815	A
USGS	07109500	2007-10-27	824	A
USGS	07109500	2007-10-28	846	A
USGS	07109500	2007-10-29	830	A
USGS	07109500	2007-10-30	830	A
USGS	07109500	2007-10-31	838	A
USGS	07109500	2007-11-01	823	A
USGS	07109500	2007-11-02	818	A
USGS	07109500	2007-11-03	802	A
USGS	07109500	2007-11-04	808	A
USGS	07109500	2007-11-05	845	A
USGS	07109500	2007-11-06	836	A
USGS	07109500	2007-11-07	822	A
USGS	07109500	2007-11-08	803	A
USGS	07109500	2007-11-09	796	A
USGS	07109500	2007-11-10	779	A
USGS	07109500	2007-11-11	784	A
USGS	07109500	2007-11-12	813	A
USGS	07109500	2007-11-13	839	A
USGS	07109500	2007-11-14	864	A
USGS	07109500	2007-11-15	893	A
USGS	07109500	2007-11-16	964	A
USGS	07109500	2007-11-17	998	A
USGS	07109500	2007-11-18	1000	A
USGS	07109500	2007-11-19	1010	A
USGS	07109500	2007-11-20	1020	A
USGS	07109500	2007-11-21	1040	A
USGS	07109500	2007-11-22	1030	A
USGS	07109500	2007-11-23	1030	A
USGS	07109500	2007-11-24	1050	A
USGS	07109500	2007-11-25	1040	A
USGS	07109500	2007-11-26	1050	A
USGS	07109500	2007-11-27	1040	A
USGS	07109500	2007-11-28	1030	A
USGS	07109500	2007-11-29	1020	A
USGS	07109500	2007-11-30	1030	A
USGS	07109500	2007-12-01	1030	A
USGS	07109500	2007-12-02	1030	A
USGS	07109500	2007-12-03	1050	A
USGS	07109500	2007-12-04	1020	A
USGS	07109500	2007-12-05	978	A
USGS	07109500	2007-12-06	969	A
USGS	07109500	2007-12-07	956	A
USGS	07109500	2007-12-08	935	A
USGS	07109500	2007-12-09	944	A
USGS	07109500	2007-12-10	971	A
USGS	07109500	2007-12-11	998	A
USGS	07109500	2007-12-12	1030	A
USGS	07109500	2007-12-13	1090	A
USGS	07109500	2007-12-14	1110	A
USGS	07109500	2007-12-15	1090	A
USGS	07109500	2007-12-16	1080	A
USGS	07109500	2007-12-17	1080	A
USGS	07109500	2007-12-18	1100	A
USGS	07109500	2007-12-19	1090	A
USGS	07109500	2007-12-20	1080	A
USGS	07109500	2007-12-21	1070	A
USGS	07109500	2007-12-22	1060	A
USGS	07109500	2007-12-23	1070	A
USGS	07109500	2007-12-24	1080	A
USGS	07109500	2007-12-25	1070	A
USGS	07109500	2007-12-26	1050	A
USGS	07109500	2007-12-27	1040	A
USGS	07109500	2007-12-28	1040	A
USGS	07109500	2007-12-29	1040	A
USGS	07109500	2007-12-30	1030	A
USGS	07109500	2007-12-31	1060	A
USGS	07109500	2008-01-01	1050	A
USGS	07109500	2008-01-02	1040	A
USGS	07109500	2008-01-03	1030	A
USGS	07109500	2008-01-04	1020	A
USGS	07109500	2008-01-05	1020	A
USGS	07109500	2008-01-06	1030	A
USGS	07109500	2008-01-07	1010	A
USGS	07109500	2008-01-08	961	A
USGS	07109500	2008-01-09	903	A
USGS	07109500	2008-01-10	820	A
USGS	07109500	2008-01-11	938	A
USGS	07109500	2008-01-12	1050	A
USGS	07109500	2008-01-13	1040	A
USGS	07109500	2008-01-14	1080	A
USGS	07109500	2008-01-15	1090	A
USGS	07109500	2008-01-16	1080	A
USGS	07109500	2008-01-17	1090	A
USGS	07109500	2008-01-18	1070	A
USGS	07109500	2008-01-19	1070	A
USGS	07109500	2008-01-20	1060	A
USGS	07109500	2008-01-21	1050	A
USGS	07109500	2008-01-22	1060	A
USGS	07109500	2008-01-23	1060	A
USGS	07109500	2008-01-24	1060	A
USGS	07109500	2008-01-25	1070	A
USGS	07109500	2008-01-26	1060	A
USGS	07109500	2008-01-27	1060	A
USGS	07109500	2008-01-28	1070	A
USGS	07109500	2008-01-29	1070	A
USGS	07109500	2008-01-30	1070	A
USGS	07109500	2008-01-31	1070	A
USGS	07109500	2008-02-01	1030	A
USGS	07109500	2008-02-02	1020	A
USGS	07109500	2008-02-03	1010	A
USGS	07109500	2008-02-04	1010	A
USGS	07109500	2008-02-05	999	A
USGS	07109500	2008-02-06	1000	A
USGS	07109500	2008-02-07	993	A
USGS	07109500	2008-02-08	1000	A
USGS	07109500	2008-02-09	999	A
USGS	07109500	2008-02-10	1000	A
USGS	07109500	2008-02-11	990	A
USGS	07109500	2008-02-12	999	A
USGS	07109500	2008-02-13	1000	A
USGS	07109500	2008-02-14	998	A
USGS	07109500	2008-02-15	993	A
USGS	07109500	2008-02-16	992	A
USGS	07109500	2008-02-17	992	A
USGS	07109500	2008-02-18	986	A
USGS	07109500	2008-02-19	980	A
USGS	07109500	2008-02-20	973	A
USGS	07109500	2008-02-21	981	A
USGS	07109500	2008-02-22	970	A
USGS	07109500	2008-02-23	975	A
USGS	07109500	2008-02-24	974	A
USGS	07109500	2008-02-25	989	A
USGS	07109500	2008-02-26	990	A
USGS	07109500	2008-02-27	980	A
USGS	07109500	2008-02-28	986	A
USGS	07109500	2008-02-29	1000	A
USGS	07109500	2008-03-01	1000	A
USGS	07109500	2008-03-02	1000	A
USGS	07109500	2008-03-03	996	A
USGS	07109500	2008-03-04	996	A
USGS	07109500	2008-03-05	991	A
USGS	07109500	2008-03-06	1020	A
USGS	07109500	2008-03-07	1000	A
USGS	07109500	2008-03-08	832	A
USGS	07109500	2008-03-09	798	A
USGS	07109500	2008-03-10	794	A
USGS	07109500	2008-03-11	789	A
USGS	07109500	2008-03-12	786	A
USGS	07109500	2008-03-13	776	A
USGS	07109500	2008-03-14	790	A
USGS	07109500	2008-03-15	862	A
USGS	07109500	2008-03-16	863	A
USGS	07109500	2008-03-17	854	A
USGS	07109500	2008-03-18	820	A
USGS	07109500	2008-03-19	814	A
USGS	07109500	2008-03-20	807	A
USGS	07109500	2008-03-21	802	A
USGS	07109500	2008-03-22	796	A
USGS	07109500	2008-03-23	761	A
USGS	07109500	2008-03-24	760	A
USGS	07109500	2008-03-25	734	A
USGS	07109500	2008-03-26	711	A
USGS	07109500	2008-03-27	709	A
USGS	07109500	2008-03-28	706	A
USGS	07109500	2008-03-29	728	A
USGS	07109500	2008-03-30	738	A
USGS	07109500	2008-03-31	733	A
USGS	07109500	2008-04-01	722	A
USGS	07109500	2008-04-02	732	A
USGS	07109500	2008-04-03	738	A
USGS	07109500	2008-04-04	724	A
USGS	07109500	2008-04-05	723	A
USGS	07109500	2008-04-06	725	A
USGS	07109500	2008-04-07	717	A
USGS	07109500	2008-04-08	721	A
USGS	07109500	2008-04-09	724	A
USGS	07109500	2008-04-10	751	A
USGS	07109500	2008-04-11	696	A
USGS	07109500	2008-04-12	694	A
USGS	07109500	2008-04-13	693	A
USGS	07109500	2008-04-14	695	A
USGS	07109500	2008-04-15	664	A
USGS	07109500	2008-04-16	649	A
USGS	07109500	2008-04-17	666	A
USGS	07109500	2008-04-18	665	A
USGS	07109500	2008-04-19	645	A
USGS	07109500	2008-04-20	636	A
USGS	07109500	2008-04-21	631	A
USGS	07109500	2008-04-22	624	A
USGS	07109500	2008-04-23	609	A
USGS	07109500	2008-04-24	601	A
USGS	07109500	2008-04-25	600	A
USGS	07109500	2008-04-26	597	A
USGS	07109500	2008-04-27	596	A
USGS	07109500	2008-04-28	602	A
USGS	07109500	2008-04-29	630	A
USGS	07109500	2008-04-30	641	A
USGS	07109500	2008-05-01	652	A
USGS	07109500	2008-05-02	666	A
USGS	07109500	2008-05-03	679	A
USGS	07109500	2008-05-04	670	A
USGS	07109500	2008-05-05	668	A
USGS	07109500	2008-05-06	692	A
USGS	07109500	2008-05-07	673	A
USGS	07109500	2008-05-08	655	A
USGS	07109500	2008-05-09	627	A
USGS	07109500	2008-05-10	594	A
USGS	07109500	2008-05-11	580	A
USGS	07109500	2008-05-12	570	A
USGS	07109500	2008-05-13	554	A
USGS	07109500	2008-05-14	559	A
USGS	07109500	2008-05-15	563	A
USGS	07109500	2008-05-16	567	A
USGS	07109500	2008-05-17	583	A
USGS	07109500	2008-05-18	618	A
USGS	07109500	2008-05-19	614	A
USGS	07109500	2008-05-20	558	A
USGS	07109500	2008-05-21	532	A
USGS	07109500	2008-05-22	519	A
USGS	07109500	2008-05-23	513	A
USGS	07109500	2008-05-24	520	A
USGS	07109500	2008-05-25	528	A
USGS	07109500	2008-05-26	537	A
USGS	07109500	2008-05-27	539	A
USGS	07109500	2008-05-28	553	A
USGS	07109500	2008-05-29	562	A
USGS	07109500	2008-05-30	533	A
USGS	07109500	2008-05-31	504	A
USGS	07109500	2008-06-01	495	A
USGS	07109500	2008-06-02	493	A
USGS	07109500	2008-06-03	487	A
USGS	07109500	2008-06-04	478	A
USGS	07109500	2008-06-05	500	A
USGS	07109500	2008-06-06	497	A
USGS	07109500	2008-06-07	487	A
USGS	07109500	2008-06-08	492	A
USGS	07109500	2008-06-09	477	A
USGS	07109500	2008-06-10	464	A
USGS	07109500	2008-06-11	443	A
USGS	07109500	2008-06-12	440	A
USGS	07109500	2008-06-13	436	A
USGS	07109500	2008-06-14	437	A
USGS	07109500	2008-06-15	426	A
USGS	07109500	2008-06-16	421	A
USGS	07109500	2008-06-17	402	A
USGS	07109500	2008-06-18	403	A
USGS	07109500	2008-06-19	372	A
USGS	07109500	2008-06-20	372	A
USGS	07109500	2008-06-21	370	A
USGS	07109500	2008-06-22	367	A
USGS	07109500	2008-06-23	362	A
USGS	07109500	2008-06-24	353	A
USGS	07109500	2008-06-25	356	A
USGS	07109500	2008-06-26	348	A
USGS	07109500	2008-06-27	327	A
USGS	07109500	2008-06-28	329	A
USGS	07109500	2008-06-29	329	A
