total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1,.3233485623802053E-19,1,1,1,1,-.5173576998083226E-15,1,7,.8881784197001221E-15,1,4,1.000000,0.3552714E-14
2,.6628645528794208E-19,1,2,1,1,-.7243007797316533E-15,1,7,.1776356839400225E-14,1,7,1.000000,0.1421085E-13
3,.1019356342903597E-18,1,3,1,1,.1901289546795607E-15,1,9,.000000000000000,0,0,1.000000,0.000000
4,.1393672722428982E-18,1,4,1,1,-.3992708048270775E-15,1,10,.1776356839400225E-14,1,9,1.000000,0.1421085E-13
5,.1786704920930637E-18,1,5,1,1,.8384686901368497E-15,1,7,-.8881784197001221E-15,1,8,1.000000,0.3552714E-14
6,.2199388729357374E-18,1,6,1,1,.4401960623218531E-15,1,10,.000000000000000,0,0,1.000000,0.000000
7,.2632706728205448E-18,1,7,1,1,.4622058654379296E-15,1,7,.1234287612197629E-40,1,9,1.000000,0.6861081E-66
8,.3087690626995926E-18,1,8,1,1,.2426580793549215E-15,1,6,.4440892098500622E-15,1,4,1.000000,0.8881784E-15
9,.3565423720725928E-18,1,9,1,1,.5095819666453286E-15,1,8,-.8881784197001189E-15,1,8,1.000000,0.7105427E-14
10,.4067043469142429E-18,1,10,1,1,-.5350610649775840E-15,1,5,.8881784197001189E-15,1,6,1.000000,0.7105427E-14
11,.4593744204979756E-18,1,11,1,1,.2809070591132411E-15,1,10,-.8881784197001205E-15,1,6,1.000000,0.5329071E-14
12,.5146779977608949E-18,1,12,1,1,-.5899048241377975E-15,1,10,-.1776356839400225E-14,1,10,1.000000,0.1421085E-13
13,.5727467538869602E-18,1,13,1,1,.4645500490085153E-15,1,8,-.8881784197001213E-15,1,7,1.000000,0.4440892E-14
14,.6337189478193287E-18,1,14,1,1,.4877775514589380E-15,1,10,.000000000000000,0,0,1.000000,0.000000
15,.6977397514483157E-18,1,15,1,1,-.5121664290318872E-15,1,7,-.8881784197001213E-15,1,7,1.000000,0.4440892E-14
16,.7649615952587520E-18,1,16,1,1,-.5377747504834908E-15,1,10,-.2220446049250312E-15,1,4,1.000000,0.6661338E-15
17,.8355445312597102E-18,1,17,1,1,.7528846506768870E-15,1,10,.1793662034335766E-42,1,4,1.000000,0.1448909E-69
18,.9096566140607162E-18,1,18,1,1,-.1976322208026751E-15,1,6,.1543843409730280E-40,1,7,1.000000,0.1073484E-65
19,.9874743010017727E-18,1,19,1,1,-.4150276636856340E-15,1,10,.4440892098500610E-15,1,6,1.000000,0.3552714E-14
20,.1069182872289882E-17,1,20,1,1,-.4357790468698873E-15,1,6,.1262177448353619E-28,1,5,1.000000,0.8968310E-42
21,.1154976872142396E-17,1,21,1,1,-.5719599990167435E-15,1,10,.8881784197001213E-15,1,10,1.000000,0.4440892E-14
22,.1245060571987537E-17,1,22,1,1,-.6005579989675911E-15,1,8,-.2220446049250312E-15,1,5,1.000000,0.4440892E-15
23,.1339648456824934E-17,1,23,1,1,-.5044687191327704E-15,1,10,.3155443620884047E-29,1,1,1.000000,0.5108996E-43
24,.1438965735904202E-17,1,24,1,1,.6621151938617402E-15,1,7,-.8881784197001221E-15,1,10,1.000000,0.3552714E-14
25,.1543248878937432E-17,1,25,1,1,.2780883814219485E-15,1,6,-.4440892098500617E-15,1,2,1.000000,0.1998401E-14
26,.1652746179122324E-17,1,26,1,1,.4379892007395433E-15,1,10,.6281777588999595E-30,1,4,1.000000,0.1777153E-44
27,.1767718344316461E-17,1,27,1,1,.4598886607765286E-15,1,10,.000000000000000,0,0,1.000000,0.000000
28,.1888439117770305E-17,1,28,1,1,-.3219220625435676E-15,1,4,.2220446049250311E-15,1,2,1.000000,0.8881784E-15
29,.2015195929896841E-17,1,29,1,1,.5070272485061320E-15,1,7,-.4440892098500622E-15,1,7,1.000000,0.9992007E-15
30,.2148290582629703E-17,1,30,1,1,-.1774595369771503E-15,1,7,.4470828585944731E-40,1,9,1.000000,0.9002079E-65
31,.2288039967999209E-17,1,31,1,1,.3726650276519808E-15,1,6,.1110223024625157E-15,1,10,1.000000,0.5551115E-16
32,.2434776822637191E-17,1,32,1,1,-.1956491395172928E-15,1,6,.2220446049250313E-15,1,6,1.000000,0.2220446E-15
33,.2588850520007071E-17,1,33,1,1,.6162947894794532E-15,1,9,.000000000000000,0,0,1.000000,0.000000
34,.2750627902245445E-17,1,34,1,1,-.6471095289534411E-15,1,8,-.2220446049250311E-15,1,5,1.000000,0.1165734E-14
35,.2920494153595738E-17,1,35,1,1,-.6794650054010948E-15,1,9,-.2220446049250312E-15,1,7,1.000000,0.4996004E-15
36,.3098853717513545E-17,1,36,1,1,.5945318797259575E-15,1,8,-.4440892098500622E-15,1,10,1.000000,0.8881784E-15
