 SPU,layer,hbot,soilhz,add
              1050_G,   1,  -0.05,starb17_M01KV03     
              1050_G,   2,  -0.10,starb17_M01KV03     
              1050_G,   3,  -0.15,starb17_M01KV03     
              1050_G,   4,  -0.20,staro17_M01KV03     
              1050_G,   5,  -0.25,staro17_M01KV03     
              1050_G,   6,  -0.30,staro17_M01KV03     
              1050_G,   7,  -0.35,staro17_M01KV03     
              1050_G,   8,  -0.40,staro17_M01KV03     
              1050_G,   9,  -0.45,staro17_M01KV03     
              1050_G,  10,  -0.50,staro17_M01KV03     
              1050_G,  11,  -0.55,staro17_85p_M01KV03 
              1050_G,  12,  -0.60,staro17_85p_M01KV03 
              1050_G,  13,  -0.65,staro17_85p_M01KV03 
              1050_G,  14,  -0.70,staro17_85p_M01KV03 
              1050_G,  15,  -0.75,staro17_85p_M01KV03 
              1050_G,  16,  -0.80,staro17_85p_M01KV03 
              1050_G,  17,  -0.85,staro17_85p_M01KV03 
              1050_G,  18,  -0.90,staro17_85p_M01KV03 
              1050_G,  19,  -0.95,staro17_85p_M01KV03 
              1050_G,  20,  -1.00,staro17_85p_M01KV03 
              1050_G,  21,  -1.05,staro17_85p_M01KV03 
              1050_G,  22,  -1.10,staro17_85p_M01KV03 
              1050_G,  23,  -1.15,staro17_85p_M01KV03 
              1050_G,  24,  -1.20,staro17_85p_M01KV03 
              1050_G,  25,  -1.25,staro17_85p_M01KV03 
              1050_G,  26,  -1.30,staro17_85p_M01KV03 
              1050_G,  27,  -1.35,staro17_85p_M01KV03 
              1050_G,  28,  -1.40,staro17_85p_M01KV03 
              1050_G,  29,  -1.45,staro17_85p_M01KV03 
              1050_G,  30,  -1.50,staro17_85p_M01KV03 
              1050_G,  31,  -1.55,staro17_85p_M01KV03 
              1050_G,  32,  -1.60,staro17_85p_M01KV03 
              1050_G,  33,  -1.65,staro17_85p_M01KV03 
              1050_G,  34,  -1.70,staro17_85p_M01KV03 
              1050_G,  35,  -1.75,staro17_85p_M01KV03 
              1050_G,  36,  -1.80,staro17_85p_M01KV03 
              1050_G,  37,  -1.85,staro17_85p_M01KV03 
