# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-05-15 13:48:53 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07128500 PURGATOIRE RIVER NEAR LAS ANIMAS, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 07128500
#            TS   parameter     statistic     Description
#         18236       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	18236_00095_00003	18236_00095_00003_cd
5s	15s	20d	14n	10s
USGS	07128500	1990-09-30	4300	A
USGS	07128500	1990-10-01	4240	A
USGS	07128500	1990-10-02	3240	A
USGS	07128500	1990-10-03	2970	A
USGS	07128500	1990-10-04	3270	A
USGS	07128500	1990-10-05	2980	A
USGS	07128500	1990-10-06	3140	A
USGS	07128500	1990-10-07	3100	A
USGS	07128500	1990-10-08	2790	A
USGS	07128500	1990-10-09	2430	A
USGS	07128500	1990-10-10	2450	A
USGS	07128500	1990-10-11	2480	A
USGS	07128500	1990-10-12	2550	A
USGS	07128500	1990-10-13	2770	A
USGS	07128500	1990-10-14	2920	A
USGS	07128500	1990-10-15	3120	A
USGS	07128500	1990-10-16	3320	A
USGS	07128500	1990-10-17	3920	A
USGS	07128500	1990-10-18	3920	A
USGS	07128500	1990-10-19	3630	A
USGS	07128500	1990-10-20	3570	A
USGS	07128500	1990-10-21	3360	A
USGS	07128500	1990-10-22	3400	A
USGS	07128500	1990-10-23	3080	A
USGS	07128500	1990-10-24	2910	A
USGS	07128500	1990-10-25	3130	A
USGS	07128500	1990-10-26	2720	A
USGS	07128500	1990-10-27	2820	A
USGS	07128500	1990-10-28	2850	A
USGS	07128500	1990-10-29	2830	A
USGS	07128500	1990-10-30	2910	A
USGS	07128500	1990-10-31	2900	A
USGS	07128500	1990-11-01	3060	A
USGS	07128500	1990-11-02	2830	A
USGS	07128500	1990-11-03	3160	A
USGS	07128500	1990-11-04	3040	A
USGS	07128500	1990-11-05	3030	A
