Soilhzn,Conduc_ebs
      starb1_M01KV03,   3.5e-11   
      starb2_M01KV03,   8.0e-13   
      starb3_M01KV03,   1.3e-08   
      starb4_M01KV03,   5.0e-09
      starb5_M01KV03,   9.0e-11   
      starb6_M01KV03,   5.0e-09
      starb7_M01KV03,   5.0e-09
      starb8_M01KV03,   5.0e-09
      starb9_M01KV03,   5.0e-09
     starb10_M01KV03,   1.0e-09   
     starb11_M01KV03,   5.0e-09
     starb12_M01KV03,   5.0e-12
     starb13_M01KV03,   5.0e-09
     starb14_M01KV03,   5.0e-09
     starb15_M01KV03,   5.0e-09   
     starb16_M01KV03,   5.0e-09   
     starb17_M01KV03,   8.0e-10
     starb18_M01KV03,   5.0e-09
      staro1_M01KV03,   5.0e-09
      staro2_M01KV03,   5.0e-09
      staro3_M01KV03,   5.0e-09
      staro4_M01KV03,   5.0e-09
      staro5_M01KV03,   5.0e-16 
      staro6_M01KV03,   5.0e-09
      staro7_M01KV03,   5.0e-09
      staro8_M01KV03,   5.0e-09
      staro9_M01KV03,   5.0e-09
     staro10_M01KV03,   5.0e-09
     staro11_M01KV03,   5.0e-09
     staro12_M01KV03,   5.0e-09
     staro13_M01KV03,   5.0e-09
     staro14_M01KV03,   5.0e-09
     staro15_M01KV03,   5.0e-09
     staro16_M01KV03,   5.0e-09
     staro17_M01KV03,   5.0e-09
     staro18_M01KV03,   5.0e-09
  starb1_85p_M01KV03,   5.0e-09
  starb2_85p_M01KV03,   5.0e-09
  starb3_85p_M01KV03,   5.0e-09
  starb4_85p_M01KV03,   5.0e-09
  starb5_85p_M01KV03,   5.0e-09
  starb6_85p_M01KV03,   5.0e-09
  starb7_85p_M01KV03,   5.0e-09
  starb8_85p_M01KV03,   5.0e-09
  starb9_85p_M01KV03,   5.0e-09
 starb10_85p_M01KV03,   5.0e-09
 starb11_85p_M01KV03,   5.0e-09
 starb12_85p_M01KV03,   5.0e-09
 starb13_85p_M01KV03,   5.0e-09
 starb14_85p_M01KV03,   5.0e-09
 starb15_85p_M01KV03,   5.0e-09
 starb16_85p_M01KV03,   5.0e-09
 starb17_85p_M01KV03,   5.0e-09
 starb18_85p_M01KV03,   5.0e-09
  staro1_85p_M01KV03,   5.0e-09
  staro2_85p_M01KV03,   5.0e-09
  staro3_85p_M01KV03,   5.0e-09
  staro4_85p_M01KV03,   5.0e-09
  staro5_85p_M01KV03,   5.0e-09
  staro6_85p_M01KV03,   5.0e-09
  staro7_85p_M01KV03,   5.0e-09
  staro8_85p_M01KV03,   5.0e-09
  staro9_85p_M01KV03,   5.0e-09
 staro10_85p_M01KV03,   5.0e-09
 staro11_85p_M01KV03,   5.0e-09
 staro12_85p_M01KV03,   5.0e-09
 staro13_85p_M01KV03,   5.0e-09
 staro14_85p_M01KV03,   5.0e-09
 staro15_85p_M01KV03,   5.0e-09
 staro16_85p_M01KV03,   5.0e-09
 staro17_85p_M01KV03,   5.0e-09
 staro18_85p_M01KV03,   5.0e-09
