cp,thickns(m),hbot(m)
1,0.01,-0.01
2,0.01,-0.02
3,0.01,-0.03
4,0.01,-0.04
5,0.01,-0.05
6,0.01,-0.06
7,0.01,-0.07
8,0.01,-0.08
9,0.01,-0.09
10,0.01,-0.1
11,0.01,-0.11
12,0.01,-0.12
13,0.01,-0.13
14,0.01,-0.14
15,0.01,-0.15
16,0.05,-0.2
17,0.05,-0.25
18,0.05,-0.3
19,0.05,-0.35
20,0.05,-0.4
21,0.05,-0.45
22,0.05,-0.5
23,0.05,-0.55
24,0.05,-0.6
25,0.05,-0.65
26,0.05,-0.7
27,0.05,-0.75
28,0.05,-0.8
29,0.05,-0.85
30,0.05,-0.9
31,0.05,-0.95
32,0.05,-1
33,0.05,-1.05
34,0.05,-1.1
35,0.05,-1.15
36,0.05,-1.2
37,0.05,-1.25
38,0.05,-1.3
39,0.05,-1.35
40,0.05,-1.4
41,0.05,-1.45
42,0.05,-1.5
43,0.05,-1.55
44,0.05,-1.6
45,0.05,-1.65
46,0.05,-1.7
47,0.05,-1.75
48,0.05,-1.8
49,0.05,-1.85
50,0.05,-1.9
51,0.05,-1.95
52,0.05,-2
53,0.05,-2.05
54,0.05,-2.1
55,0.05,-2.15
56,0.05,-2.2
57,0.05,-2.25
58,0.05,-2.3
59,0.05,-2.35
60,0.05,-2.4
61,0.05,-2.45
62,0.05,-2.5
63,0.05,-2.55
64,0.05,-2.6
65,0.05,-2.65
66,0.05,-2.7
67,0.05,-2.75
68,0.05,-2.8
69,0.05,-2.85
70,0.05,-2.9
71,0.05,-2.95
72,0.05,-3
73,0.05,-3.05
74,0.05,-3.1
75,0.05,-3.15
76,0.05,-3.2
77,0.05,-3.25
78,0.05,-3.3
79,0.05,-3.35
80,0.05,-3.4
81,0.05,-3.45
82,0.05,-3.5
83,0.05,-3.55
84,0.05,-3.6
85,0.05,-3.65
86,0.05,-3.7
87,0.05,-3.75
88,0.05,-3.8
89,0.05,-3.85
90,0.05,-3.9
91,0.05,-3.95
92,0.05,-4
93,0.05,-4.05
94,0.05,-4.1
95,0.05,-4.15
96,0.05,-4.2
97,0.05,-4.25
98,0.05,-4.3
99,0.05,-4.35
100,0.05,-4.4
101,0.05,-4.45
102,0.05,-4.5
103,0.05,-4.55
104,0.05,-4.6
105,0.05,-4.65
106,0.05,-4.7
107,0.05,-4.75
108,0.05,-4.8
109,0.05,-4.85
110,0.05,-4.9
111,0.05,-4.95
112,0.05,-5
113,0.25,-5.25
114,0.25,-5.5
115,0.25,-5.75
116,0.25,-6
117,0.25,-6.25
118,0.25,-6.5
119,0.25,-6.75
120,0.25,-7
121,0.5,-7.5
122,0.5,-8
123,0.5,-8.5
124,0.5,-9
125,0.5,-9.5
126,0.5,-10
127,0.5,-10.5
128,0.5,-11
129,0.5,-11.5
130,0.5,-12
131,0.5,-12.5
132,0.5,-13
133,0.5,-13.5
134,0.5,-14
135,0.5,-14.5
136,0.5,-15
137,0.5,-15.5
138,0.5,-16
139,0.5,-16.5
140,0.5,-17
141,0.5,-17.5
142,0.5,-18
143,0.5,-18.5
144,0.5,-19
145,0.5,-19.5
146,0.5,-20
147,0.5,-20.5
148,0.5,-21
149,0.5,-21.5
150,0.5,-22
151,0.5,-22.5
152,0.5,-23
153,0.5,-23.5
154,0.5,-24
155,0.5,-24.5
156,0.5,-25
157,0.5,-25.5
158,0.5,-26
159,0.5,-26.5
160,0.5,-27
161,0.5,-27.5
162,0.5,-28
163,0.5,-28.5
164,0.5,-29
165,0.5,-29.5
166,0.5,-30
167,1,-31
168,1,-32
169,1,-33
170,1,-34
171,1,-35
172,5,-40
173,5,-45
174,5,-50
175,5,-55
176,5,-60
177,10,-70
178,10,-80
179,10,-90
180,10,-100
