# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# EV24     = Referentiegewasverdamping (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   RH, EV24
# 
  260,20180101,   47,    3
  260,20180102,   45,    2
  260,20180103,   95,    1
  260,20180104,    6,    2
  260,20180105,   27,    2
  260,20180106,    0,    2
  260,20180107,    0,    5
  260,20180108,    0,    4
  260,20180109,    0,    2
  260,20180110,   26,    1
  260,20180111,    0,    2
  260,20180112,    0,    1
  260,20180113,    0,    1
  260,20180114,    0,    4
  260,20180115,  133,    1
  260,20180116,   83,    4
  260,20180117,   27,    3
  260,20180118,  111,    2
  260,20180119,   54,    4
  260,20180120,   11,    1
  260,20180121,   21,    5
  260,20180122,    6,    3
  260,20180123,   15,    3
  260,20180124,   42,    2
  260,20180125,    1,    3
  260,20180126,    0,    4
  260,20180127,   11,    4
  260,20180128,   -1,    4
  260,20180129,   52,    2
  260,20180130,    0,    6
  260,20180131,   38,    1
  260,20180201,   44,    3
  260,20180202,   50,    4
  260,20180203,   17,    2
  260,20180204,   -1,    6
  260,20180205,    0,    4
  260,20180206,    0,    8
  260,20180207,    0,    8
  260,20180208,    0,    7
  260,20180209,    1,    4
  260,20180210,    1,    6
  260,20180211,   51,    5
  260,20180212,   -1,    8
  260,20180213,    0,   10
  260,20180214,    0,   10
  260,20180215,   35,    3
  260,20180216,    0,   10
  260,20180217,    0,    8
  260,20180218,    0,    9
  260,20180219,   -1,    4
  260,20180220,    0,    5
  260,20180221,    0,   10
  260,20180222,    0,   11
  260,20180223,    0,   11
  260,20180224,    0,   11
  260,20180225,    0,   11
  260,20180226,   -1,    8
  260,20180227,   -1,    9
  260,20180228,   -1,    7
  260,20180301,    0,    7
  260,20180302,   -1,    8
  260,20180303,   -1,    5
  260,20180304,   19,   11
  260,20180305,    0,   15
  260,20180306,    0,    9
  260,20180307,   35,    9
  260,20180308,   47,    5
  260,20180309,   29,   13
  260,20180310,   43,   10
  260,20180311,   12,    8
  260,20180312,   12,   11
  260,20180313,   71,    3
  260,20180314,   -1,   18
  260,20180315,   10,   10
  260,20180316,    4,    2
  260,20180317,   -1,    6
  260,20180318,    0,   11
  260,20180319,   -1,   17
  260,20180320,   -1,   20
  260,20180321,   -1,   14
  260,20180322,   33,    8
  260,20180323,   -1,    8
  260,20180324,    0,   15
  260,20180325,    0,   17
  260,20180326,   15,   12
  260,20180327,   17,    9
  260,20180328,  124,    4
  260,20180329,    2,   16
  260,20180330,   24,   19
  260,20180331,  100,   14
  260,20180401,    7,    5
  260,20180402,   11,   10
  260,20180403,   25,   19
  260,20180404,   49,   11
  260,20180405,   24,   13
  260,20180406,    0,   28
  260,20180407,    0,   28
  260,20180408,    0,   29
  260,20180409,   -1,   15
  260,20180410,   -1,   21
  260,20180411,   21,   16
  260,20180412,    2,   10
  260,20180413,    0,   14
  260,20180414,   10,   18
  260,20180415,   66,   14
  260,20180416,    1,   29
  260,20180417,    0,   32
  260,20180418,    0,   37
  260,20180419,    0,   40
  260,20180420,    0,   39
  260,20180421,    0,   37
  260,20180422,   -1,   34
  260,20180423,    0,   28
