Row,Col,Cell_ID,Ag,Active_Cel,GhostNode,subgroup
36,31,4686,1,1,5,1
36,37,4692,1,1,5,1
36,40,4695,1,1,5,1
37,24,4812,1,1,5,2
37,25,4813,1,1,5,2
37,27,4815,1,1,5,2
37,28,4816,1,1,5,3
37,30,4818,1,1,5,3
37,31,4819,1,1,5,3
37,33,4821,1,1,5,4
37,34,4822,1,1,5,4
37,36,4824,1,1,5,4
37,39,4827,1,1,5,5
37,41,4829,1,1,5,5
38,24,4945,1,1,5,5
38,27,4948,1,1,5,6
38,29,4950,1,1,5,6
38,32,4953,1,1,5,6
38,35,4956,1,1,5,7
38,37,4958,1,1,5,7
38,39,4960,1,1,5,7
38,42,4963,1,1,5,8
38,48,4969,1,1,9,1
38,50,4971,1,1,9,1
39,24,5078,1,1,5,8
39,25,5079,1,1,5,8
39,26,5080,1,1,5,9
39,28,5082,1,1,5,9
39,29,5083,1,1,5,9
39,30,5084,1,1,5,10
39,31,5085,1,1,5,10
39,34,5088,1,1,5,10
39,35,5089,1,1,5,11
39,36,5090,1,1,5,11
39,37,5091,1,1,5,11
39,41,5095,1,1,5,12
39,43,5097,1,1,5,12
39,47,5101,1,1,9,1
39,49,5103,1,1,9,2
39,52,5106,1,1,9,2
40,24,5211,1,1,5,12
40,25,5212,1,1,5,13
40,27,5214,1,1,5,13
40,28,5215,1,1,5,13
40,30,5217,1,1,5,14
40,31,5218,1,1,5,14
40,32,5219,1,1,5,14
40,33,5220,1,1,5,15
40,34,5221,1,1,5,15
40,36,5223,1,1,5,15
40,39,5226,1,1,7,1
40,40,5227,1,1,7,1
40,42,5229,1,1,7,1
40,46,5233,1,1,9,2
40,47,5234,1,1,9,3
40,48,5235,1,1,9,3
40,49,5236,1,1,9,3
40,50,5237,1,1,9,4
40,51,5238,1,1,9,4
40,54,5241,1,1,11,1
41,25,5345,1,1,5,16
41,26,5346,1,1,5,16
41,27,5347,1,1,5,16
41,29,5349,1,1,5,17
41,31,5351,1,1,5,17
41,33,5353,1,1,5,17
41,34,5354,1,1,5,18
41,35,5355,1,1,5,18
41,36,5356,1,1,5,18
41,37,5357,1,1,5,19
41,40,5360,1,1,7,2
41,41,5361,1,1,7,2
41,43,5363,1,1,7,2
41,47,5367,1,1,9,4
41,49,5369,1,1,9,5
41,52,5372,1,1,9,5
41,55,5375,1,1,11,1
41,56,5376,1,1,11,1
41,57,5377,1,1,11,2
41,60,5380,1,1,11,2
41,63,5383,1,1,11,2
42,26,5479,1,1,5,19
42,28,5481,1,1,5,19
42,31,5484,1,1,5,19
42,32,5485,1,1,5,20
42,33,5486,1,1,5,20
42,34,5487,1,1,5,20
42,37,5490,1,1,7,3
42,38,5491,1,1,7,3
42,39,5492,1,1,7,3
42,41,5494,1,1,7,4
